X,Y
37.45401188,87.64873472
95.07143064,205.8546984
73.19939418,126.2307599
59.86584842,121.4134441
15.60186404,53.65830314
15.59945203,47.42920946
5.80836122,6.75729059
86.61761458,139.8750158
60.11150117,110.9182565
70.80725778,135.0261531
2.05844943,34.36485879
96.99098522,155.1049061
83.24426408,141.9923532
21.23391107,67.35001146
18.18249672,30.75835409
18.34045099,10.29423832
30.4242243,95.81659215
52.47564316,137.3054184
43.19450186,92.79094119
29.12291402,44.47142585
61.18528947,106.9199241
13.94938607,29.51850166
29.21446485,44.75976482
36.63618433,92.83051084
45.60699842,70.66676801
78.51759614,153.3872258
19.96737822,32.92630226
51.42344384,104.670273
59.24145689,138.6662278
4.64504127,23.02591532
60.75448519,108.0417266
17.05241237,32.1374999
6.5051593,41.67798934
94.88855373,168.7080472
96.56320331,143.3706725
80.83973481,162.7264898
30.46137692,82.94165016
9.7672114,39.36510442
68.42330265,143.1347194
44.01524937,69.90412577
12.20382348,54.43664108
49.51769101,85.73717933
3.43885211,26.4320121
90.93204021,151.9896725
25.87799816,55.31236351
66.25222844,110.5956928
31.17110761,68.73200525
52.00680212,85.1572829
54.67102793,108.8615467
18.48544555,43.11354177
96.95846278,172.3959396
77.51328234,128.3586449
93.94989416,160.3621436
89.48273504,159.2787635
59.78999788,128.9442313
92.1874235,168.2886812
8.84925021,44.76864968
19.59828624,47.50748711
4.52272889,22.86903741
32.53303308,46.47875818
38.86772897,108.2232194
27.13490318,49.32794356
82.87375092,137.4911333
35.67533267,87.61211609
28.09345097,50.29059234
54.26960832,106.1076108
14.0924225,61.2611102
80.21969808,164.9378774
7.45506437,21.3097789
98.68869366,184.3286019
77.22447693,131.5337334
19.87156815,42.39638354
0.55221171,18.11615356
81.54614285,160.7432747
70.68573438,141.6723407
72.9007168,144.2002819
77.12703467,124.8378311
7.40446517,44.58851565
35.84657285,70.34472349
11.58690595,40.50282006
86.31034259,147.7115486
62.32981268,133.2253943
33.08980249,55.35976389
6.35583503,27.84487866
31.09823217,88.70872245
32.5183322,66.93484414
72.96061783,136.9426905
63.75574714,127.5168638
88.72127426,160.9518225
47.22149252,89.61670209
11.95942459,24.78968366
71.32447872,138.0429697
76.07850486,141.4661888
56.12771976,105.8499646
77.096718,149.1595962
49.37955964,104.8565415
52.27328294,103.631346
42.75410184,81.11046589
2.54191267,8.12261815
10.7891427,41.72479183
3.14291857,23.39922818
63.64104113,97.85844618
31.43559811,45.87970391
50.85706912,86.66751896
90.75664739,167.3100222
24.92922291,47.3967747
41.0382923,74.4975067
75.55511385,120.8604039
22.87981655,45.58127346
7.69799098,35.89609006
28.97514529,57.71522225
16.12212873,35.5718157
92.96976523,152.8788169
80.81203796,146.6817453
63.34037565,120.1459458
87.14605902,132.7168018
80.36720769,140.7337212
18.65700589,35.83250719
89.25589985,168.6898249
53.93422419,122.1883332
80.74401552,151.6795101
89.60912999,162.7923455
31.8003475,77.12460885
11.00519245,33.36721702
22.79351625,52.36242331
42.71077886,80.47702079
81.80147659,139.0990355
86.07305833,166.7694682
